Frequency,Impedance,Phase,Real,Imaginary,Magnitude
73750,1698.926035,-63.77923977,-664,-2735,2814.448614
73920,1699.304064,-64.07623007,-661,-2739,2817.630565
74090,1695.917158,-64.12366585,-658,-2744,2821.790212
74260,1689.584744,-64.00380682,-656,-2753,2830.078621
74430,1685.110159,-64.09850902,-653,-2758,2834.249989
74600,1682.426374,-64.20009176,-651,-2764,2839.629729
74770,1673.958645,-64.04499608,-652,-2769,2844.725822
74940,1674.184225,-63.95623975,-645,-2775,2848.973499
75110,1673.995962,-64.17330095,-645,-2781,2854.818033
75280,1663.033269,-64.23399137,-644,-2788,2861.412239
75450,1670.414066,-64.21264878,-639,-2792,2864.190112
75620,1664.775962,-64.36129398,-635,-2800,2871.101705
75790,1662.800817,-64.42785239,-635,-2804,2875.002783
75960,1659.997024,-64.54365694,-631,-2809,2879.000174
76130,1653.718294,-64.38093743,-628,-2816,2885.175905
76300,1647.88359,-64.68778864,-625,-2823,2891.358504
76470,1650.57581,-64.57423546,-624,-2829,2897.001381
76640,1650.638373,-64.64821399,-621,-2835,2902.217428
76810,1642.968964,-64.56743975,-617,-2841,2907.227201
76980,1640.93497,-64.62882362,-614,-2844,2909.52436
77150,1636.970104,-64.66059224,-613,-2852,2917.134382
77320,1634.793575,-64.72734745,-609,-2858,2922.164438
77490,1632.469332,-64.57458035,-605,-2865,2928.18203
77660,1625.714296,-64.88525734,-601,-2870,2932.251865
77830,1624.243045,-64.94818998,-598,-2879,2940.449796
78000,1620.244447,-64.94845105,-598,-2882,2943.387164
78170,1624.63753,-64.87836681,-596,-2890,2950.816158
78340,1613.260298,-64.91557556,-592,-2895,2954.909305
78510,1613.373632,-64.92498566,-587,-2899,2957.831976
78680,1610.457522,-65.04706063,-586,-2906,2964.495235
78850,1605.551587,-65.02184851,-585,-2911,2969.199555
79020,1609.956089,-64.98315762,-579,-2916,2972.927345
79190,1599.719656,-64.98606663,-577,-2925,2981.367807
79360,1601.828774,-65.10078906,-574,-2930,2985.695229
79530,1596.41953,-65.25174293,-571,-2936,2991.009361
79700,1597.27895,-65.12421732,-567,-2937,2991.230182
79870,1592.591534,-65.19551742,-564,-2948,3001.466308
80040,1587.353647,-65.48783603,-564,-2954,3007.359639
80210,1583.210534,-65.40956128,-557,-2957,3009.002825
80380,1586.068513,-65.44231607,-554,-2967,3018.278483
80550,1571.55806,-65.02204676,-545,-2974,3023.524599
80720,1570.533757,-65.51779031,-550,-2979,3029.346629
80890,1574.03825,-65.58274672,-544,-2982,3031.214278
81060,1572.007694,-65.55614166,-542,-2989,3037.743406
81230,1568.297803,-65.52974579,-539,-2995,3043.114523
81400,1564.693727,-65.54690527,-534,-3002,3049.124464
81570,1559.984039,-65.52744488,-533,-3007,3053.872623
81740,1558.117481,-65.74328732,-528,-3015,3060.883696
81910,1559.490682,-65.76415625,-526,-3018,3063.494736
82080,1546.01078,-65.50771337,-525,-3029,3074.161024
82250,1556.464871,-65.69877827,-518,-3029,3072.973316
82420,1550.957946,-65.8542515,-515,-3036,3079.370228
82590,1547.494268,-65.71959304,-509,-3044,3086.262627
82760,1544.851723,-66.0733716,-507,-3047,3088.892682
82930,1538.165544,-65.84641082,-507,-3056,3097.770973
83100,1539.585032,-66.04563785,-500,-3058,3098.606784
83270,1535.269257,-66.27221063,-496,-3064,3103.886596
83440,1529.09685,-66.12393804,-497,-3070,3109.969292
83610,1528.378477,-66.05719272,-491,-3078,3116.915944
83780,1526.333028,-66.03239642,-486,-3084,3122.058936
83950,1525.026104,-66.1481024,-484,-3089,3126.687864
84120,1525.174822,-66.03153508,-478,-3097,3133.670851
84290,1523.270124,-66.13753001,-474,-3099,3135.040191
84460,1516.644532,-66.28487401,-472,-3106,3141.658798
84630,1514.091214,-66.27669533,-468,-3113,3147.98237
84800,1513.363761,-66.3034815,-464,-3119,3153.324753
84970,1497.625039,-66.48223022,-467,-3127,3161.679617
85140,1511.012964,-66.43175707,-456,-3134,3167.000474
85310,1500.969809,-66.31115381,-453,-3138,3170.52882
85480,1498.547373,-66.45294594,-451,-3141,3173.213198
85650,1497.071059,-66.29696734,-449,-3148,3179.859274
85820,1493.59758,-66.3423293,-442,-3154,3184.820246
85990,1492.624947,-66.50456388,-438,-3160,3190.210651
86160,1491.860084,-66.70513411,-433,-3164,3193.491036
86330,1489.332812,-66.52165449,-428,-3169,3197.771881
86500,1479.946266,-66.7837388,-428,-3176,3204.709035
86670,1479.756981,-66.5851141,-425,-3185,3213.230462
86840,1477.976365,-66.5301087,-418,-3191,3218.261176
87010,1478.055592,-66.54916284,-415,-3200,3226.797948
87180,1474.012271,-66.54443209,-411,-3203,3229.261525
87350,1477.039152,-66.89784413,-405,-3209,3234.456059
87520,1472.066544,-66.79245401,-400,-3213,3237.803113
87690,1470.154834,-66.88277346,-398,-3217,3241.526338
87860,1461.639311,-66.94377022,-397,-3225,3249.343626
88030,1465.113118,-66.93112993,-390,-3230,3253.459697
88200,1465.04416,-66.94523095,-385,-3235,3257.829032
88370,1461.184862,-67.0471742,-381,-3242,3264.3108
88540,1460.141459,-66.89582004,-379,-3248,3270.037462
88710,1456.230384,-67.07409039,-373,-3252,3273.321402
88880,1454.42872,-66.94888724,-365,-3260,3280.369644
89050,1452.403071,-67.10990612,-367,-3264,3284.567704
89220,1445.132906,-66.97828332,-359,-3269,3288.653524
89390,1442.967244,-67.28979336,-356,-3278,3297.274632
89560,1442.376881,-67.16418668,-354,-3286,3305.013162
89730,1443.724554,-67.19124886,-348,-3291,3309.348123
89900,1436.114218,-67.38351807,-343,-3296,3313.799179
90070,1429.426795,-67.33220636,-336,-3298,3315.071643
90240,1428.692343,-67.35863104,-335,-3306,3322.929581
90410,1427.092884,-67.44145206,-331,-3313,3329.493956
90580,1423.895075,-67.30172762,-325,-3318,3333.878972
90750,1422.652985,-67.21266065,-322,-3326,3341.550538
90920,1424.379598,-67.11126989,-313,-3329,3343.682102
