Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
34630,14584.00963,-70.11910206,-2433,-2302,3349.431743,4959.526476,3.35117E-10
34820,14517.3982,-69.93057812,-2432,-2327,3365.940136,4981.768033,3.35218E-10
35010,14444.42006,-69.77864688,-2433,-2350,3382.600922,4992.683961,3.35409E-10
35200,14373.3844,-69.70623575,-2436,-2371,3399.37303,4985.172297,3.35404E-10
35390,14311.33651,-69.62973821,-2438,-2390,3414.080257,4981.569057,3.35215E-10
35580,14239.59905,-69.56457211,-2443,-2411,3432.370901,4971.777842,3.35247E-10
35770,14185.118,-69.43275536,-2440,-2432,3445.028882,4983.323534,3.35035E-10
35960,14122.58918,-69.29059635,-2439,-2455,3460.599081,4994.148169,3.35053E-10
36150,14053.61867,-69.22484579,-2442,-2474,3476.210581,4984.840332,3.35073E-10
36340,13986.32287,-69.14830424,-2444,-2494,3491.872277,4978.435469,3.35095E-10
36530,13917.69902,-69.02933841,-2446,-2518,3510.447265,4981.003369,3.35262E-10
36720,13854.48559,-68.94834871,-2447,-2537,3524.794746,4976.661632,3.35231E-10
36910,13789.06988,-68.85378602,-2449,-2558,3541.322493,4974.395906,3.35301E-10
37100,13721.73873,-68.7320354,-2450,-2583,3560.110813,4977.289632,3.35497E-10
37290,13669.64994,-68.66037735,-2449,-2601,3572.506403,4974.323425,3.35223E-10
37480,13611.68157,-68.54315791,-2449,-2623,3588.55542,4979.157038,3.35213E-10
37670,13554.5031,-68.40425838,-2447,-2646,3604.042869,4988.808712,3.35249E-10
37860,13499.08672,-68.36909891,-2448,-2663,3617.218959,4976.113687,3.35018E-10
38050,13438.11966,-68.26286565,-2448,-2686,3634.184915,4976.792377,3.35104E-10
38240,13379.35385,-68.15492564,-2447,-2707,3649.062619,4978.432906,3.35156E-10
38430,13326.39044,-68.05699639,-2446,-2728,3664.000546,4979.85981,3.35055E-10
38620,13263.82002,-67.95279889,-2447,-2750,3681.074436,4978.844022,3.35225E-10
38810,13212.4005,-67.83417237,-2445,-2772,3696.215497,4984.886919,3.35164E-10
39000,13149.9293,-67.7617523,-2445,-2794,3712.743056,4976.706014,3.35289E-10
39190,13101.24723,-67.70321344,-2445,-2813,3727.062382,4970.669123,3.35043E-10
39380,13038.92072,-67.58190076,-2446,-2838,3746.61981,4972.554274,3.35312E-10
39570,12988.60268,-67.48589718,-2442,-2857,3758.432253,4973.476568,3.35227E-10
39760,12941.82141,-67.39704439,-2441,-2876,3772.248269,4974.097769,3.35047E-10
39950,12878.10978,-67.28109116,-2441,-2901,3791.343034,4973.660942,3.35386E-10
40140,12825.38229,-67.1679872,-2438,-2924,3807.048726,4976.640753,3.35449E-10
40330,12776.71359,-67.02170226,-2434,-2947,3822.193742,4987.80457,3.35502E-10
40520,12732.21267,-66.95428735,-2431,-2967,3835.733307,4984.220933,3.35264E-10
40710,12685.50632,-66.86767934,-2428,-2987,3849.3315,4983.576348,3.35143E-10
40900,12633.92641,-66.80144119,-2428,-3007,3864.871667,4976.741004,3.35114E-10
41090,12579.58617,-66.70233813,-2426,-3028,3879.981959,4975.327247,3.35255E-10
41280,12532.06069,-66.57850646,-2422,-3051,3895.469805,4981.395657,3.3529E-10
41470,12486.11357,-66.46850299,-2418,-3073,3910.249736,4985.120062,3.35261E-10
41660,12441.79044,-66.35676727,-2413,-3095,3924.486463,4989.660158,3.35206E-10
41850,12395.69728,-66.25837337,-2409,-3117,3939.412393,4990.66787,3.35178E-10
42040,12351.77907,-66.19715306,-2407,-3135,3952.451644,4985.063889,3.35007E-10
42230,12299.72373,-66.11504302,-2405,-3155,3967.121122,4980.17702,3.35123E-10
42420,12250.00056,-66.02446885,-2402,-3178,3983.627493,4977.74443,3.35212E-10
42610,12216.92941,-65.94787639,-2397,-3196,3995,4979.224027,3.3482E-10
42800,12161.9587,-65.85401488,-2396,-3220,4013.628782,4975.00685,3.35085E-10
42990,12114.06702,-65.74871038,-2391,-3241,4027.525543,4975.72431,3.352E-10
43180,12082.24223,-65.65924894,-2386,-3260,4039.875741,4979.846934,3.3484E-10
43370,12030.62257,-65.53721891,-2382,-3284,4056.917549,4981.905484,3.35127E-10
43560,11982.20604,-65.4160419,-2377,-3308,4073.449766,4984.911701,3.35337E-10
43750,11950.77919,-65.33890626,-2370,-3326,4084.014691,4986.463357,3.34965E-10
43940,11917.63851,-65.28926802,-2366,-3343,4095.55918,4982.016684,3.34578E-10
44130,11862.47951,-65.1731003,-2362,-3367,4112.874056,4980.796868,3.34999E-10
44320,11817.99245,-65.08704363,-2358,-3388,4127.796991,4978.221937,3.35052E-10
44510,11770.08787,-64.98387632,-2354,-3411,4144.422396,4977.255784,3.35261E-10
44700,11742.86689,-64.9234579,-2349,-3429,4156.421778,4976.963204,3.34774E-10
44890,11692.68232,-64.79725738,-2342,-3452,4171.48271,4979.008424,3.35134E-10
45080,11652.54425,-64.69958629,-2337,-3474,4186.913541,4979.88248,3.35141E-10
45270,11617.49345,-64.63276611,-2332,-3492,4199.081804,4977.148737,3.34926E-10
45460,11573.22478,-64.50964714,-2324,-3515,4213.810746,4980.642816,3.35144E-10
45650,11538.79775,-64.40101242,-2317,-3537,4228.339863,4985.566189,3.35049E-10
45840,11510.66522,-64.33267699,-2309,-3554,4238.206814,4985.788364,3.34667E-10
46030,11470.47688,-64.22426088,-2303,-3576,4253.420388,4987.934996,3.34758E-10
46220,11423.43228,-64.13943194,-2298,-3597,4268.397006,4982.702324,3.34995E-10
46410,11380.15082,-64.08657598,-2296,-3618,4285.036756,4973.268579,3.35042E-10
46600,11342.7955,-63.98964639,-2289,-3640,4299.897789,4974.196445,3.35051E-10
46790,11317.5128,-63.91310515,-2280,-3657,4309.530021,4976.692391,3.34654E-10
46980,11274.82989,-63.77392404,-2272,-3681,4325.707457,4982.506974,3.34962E-10
47170,11236.46932,-63.69301092,-2266,-3701,4339.603323,4979.784575,3.34985E-10
47360,11188.79687,-63.65790827,-2263,-3722,4355.967516,4964.801091,3.35164E-10
