Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
45270,5005.949142,5.30E-02,-2323,-3492,4194.090247,5.01E+03,-7.59E-07
45460,4996.374289,0.011142839,-2321,-3515,4212.15693,5.00E+03,-3.60E-06
45650,5000,0,-2313,-3534,4223.638834,5.00E+03,#DIV/0!
45840,4999.651957,1.87E-02,-2305,-3556,4237.707045,5.00E+03,-2.13E-06
46030,4996.748276,-8.06E-03,-2303,-3573,4250.898493,5.00E+03,4.92E-06
46220,4998.73782,-2.26E-02,-2297,-3594,4265.330585,5.00E+03,1.74E-06
46410,5002.238356,1.54E-02,-2290,-3614,4278.445512,5.00E+03,-2.54E-06
46600,5005.185175,-5.82E-03,-2285,-3633,4291.842728,5.01E+03,6.71E-06
46790,4996.803069,-8.51E-03,-2279,-3657,4309.001044,5.00E+03,4.58E-06
46980,4995.831864,-1.69E-03,-2269,-3679,4322.430104,5.00E+03,2.30E-05
47170,5001.968019,-1.38E-02,-2262,-3698,4334.956517,5.00E+03,2.80E-06
47360,5000.449762,0.135512218,-2251,-3722,4349.745395,5.00E+03,-2.84E-07
47550,4994.500316,2.26E-02,-2247,-3742,4364.810763,4.99E+03,-1.70E-06
47740,4999.018472,6.70E-03,-2239,-3761,4377.012908,5.00E+03,-5.71E-06
47930,5000.980821,-6.64E-03,-2232,-3780,4389.786327,5.00E+03,5.73E-06
48120,5002.700499,2.71E-02,-2223,-3801,4403.331693,5.00E+03,-1.40E-06
48310,5001.958287,-1.30E-02,-2216,-3822,4417.956541,5.00E+03,2.90E-06
48500,5000.562102,1.12E-02,-2208,-3843,4432.145417,5.00E+03,-3.35E-06
48690,4999.443582,-0.011196798,-2201,-3864,4446.897458,5.00E+03,3.35E-06
48880,4996.3946,-2.09E-02,-2193,-3884,4460.348081,5.00E+03,1.78E-06
49070,5000.545875,1.12E-02,-2183,-3903,4472.012746,5.00E+03,-3.32E-06
49260,4999.565163,1.74E-02,-2173,-3923,4484.624622,5.00E+03,-2.13E-06
49450,5003.898828,-2.45E-02,-2165,-3941,4496.521544,5.00E+03,1.50E-06
49640,5000.529861,1.12E-02,-2157,-3963,4511.986037,5.00E+03,-3.29E-06
49830,4999.552117,1.72E-02,-2148,-3984,4526.163939,5.00E+03,-2.13E-06
50020,4999.028393,5.95E-03,-2139,-4003,4538.648477,5.00E+03,-6.13E-06
50210,4997.658891,5.69E-02,-2128,-4025,4552.912145,5.00E+03,-6.38E-07
50400,5001.479257,5.28E-03,-2121,-4041,4563.805649,5.00E+03,-6.85E-06
50590,4998.024069,-1.64E-02,-2113,-4063,4579.600201,5.00E+03,2.19E-06
50780,5004.788949,-8.44E-02,-2102,-4079,4588.752009,5.00E+03,4.25E-07
50970,4998.993168,-5.00E-02,-2094,-4100,4603.784965,5.00E+03,7.16E-07
51160,5000.957344,-3.33E-02,-2082,-4121,4617.073207,5.00E+03,1.07E-06
51350,5000.482905,1.11E-02,-2072,-4143,4632.238444,5.00E+03,-3.21E-06
51540,5000,0,-2064,-4162,4645.679713,5.00E+03,#DIV/0!
51730,5000,0,-2053,-4182,4658.748008,5.00E+03,#DIV/0!
51920,4996.121231,4.89E-02,-2039,-4203,4671.480493,5.00E+03,-7.19E-07
52110,4998.575703,-5.72E-03,-2032,-4222,4685.542445,5.00E+03,6.12E-06
52300,5000,0,-2021,-4238,4695.219377,5.00E+03,#DIV/0!
52490,4996.66807,4.58E-03,-2011,-4261,4711.713277,5.00E+03,-7.60E-06
52680,5000.448181,1.10E-02,-1999,-4279,4722.906097,5.00E+03,-3.15E-06
52870,4996.310515,-3.38E-02,-1991,-4298,4736.758913,5.00E+03,1.02E-06
53060,5003.911122,-4.70E-02,-1978,-4316,4747.666795,5.00E+03,7.30E-07
53250,4998.610465,-5.99E-03,-1966,-4338,4762.709313,5.00E+03,5.72E-06
53440,4997.99184,3.66E-02,-1954,-4358,4776.010888,5.00E+03,-9.32E-07
53630,5001.910755,-9.72E-03,-1941,-4372,4783.499242,5.00E+03,3.50E-06
53820,5006.569051,-7.00E-03,-1931,-4387,4793.175357,5.01E+03,4.83E-06
54010,5000.415214,1.09E-02,-1920,-4409,4808.916822,5.00E+03,-3.09E-06
54200,5000.41029,0.010907108,-1909,-4430,4823.813947,5.00E+03,-3.08E-06
54390,4999.049355,0.004643773,-1897,-4451,4838.389195,5.00E+03,-7.22E-06
54580,5000.400877,1.09E-02,-1885,-4468,4849.355524,5.00E+03,-3.07E-06
54770,4999.289673,4.17E-02,-1870,-4486,4860.153907,5.00E+03,-7.98E-07
54960,4998.103589,8.98E-03,-1860,-4505,4873.871664,5.00E+03,-3.70E-06
55150,5000.560155,-1.53E-02,-1849,-4520,4883.564375,5.00E+03,2.16E-06
55340,5002.634685,-5.01E-02,-1841,-4539,4898.142709,5.00E+03,6.58E-07
55530,5000.378054,1.08E-02,-1825,-4562,4913.498652,5.00E+03,-3.03E-06
55720,4998.310067,-1.74E-02,-1813,-4582,4927.645787,5.00E+03,1.89E-06
55910,5000.206052,-2.58E-02,-1798,-4598,4937.04446,5.00E+03,1.26E-06
56100,4999.636286,-1.08E-02,-1783,-4618,4950.253832,5.00E+03,3.01E-06
56290,4995.65382,3.14E-02,-1771,-4635,4961.820835,5.00E+03,-1.03E-06
56480,5000,0,-1757,-4650,4970.870045,5.00E+03,#DIV/0!
56670,5000,0,-1746,-4670,4985.721212,5.00E+03,#DIV/0!
56860,5001.877483,-7.94E-03,-1730,-4688,4997.023514,5.00E+03,4.04E-06
57050,5000.342347,1.07E-02,-1718,-4706,5009.786423,5.00E+03,-2.98E-06
57240,4999.063445,3.87E-03,-1704,-4724,5021.931103,5.00E+03,-8.23E-06
57430,5000.935921,-3.83E-03,-1691,-4739,5031.659965,5.00E+03,8.30E-06
